Planting num,Planting name,Run planting,Planting year,Planting DOY,Planting date,DOY start,Date start,DOY end,Date end,Field num,Field name,Acct num,Account name,Crop num,Crop name,Weather num,Weather name,Weather sheet name,ET fractions num,Wetting fractions num,Daily Kc values sheet,Daily RS values sheet,Irr num,Irr name,Irr section,Irr first row,Num irrigations,Num neutron,First neutron row,Initial_days,Development_days,Midseason_days,Lateseason_days,Ending_season_days,Development_days_year_2,Midseason_days_year_2,Lateseason_days_year_2,Crop_end_DOY,Initial_Kcb,Midseason_Kcb,Endseason_ Kcb,Midseason_Kcb_year_2,Endseason_Kcb_year_2,Initial_1-C_root_height_Days,Development_1-C_root_height_Days,Midseason_1-C_root_height_Days,Endseason_1-C_Days,Initial_1-C,Midseason_1-C,Endseason_1-C,Endseason_root_and_height_days,Initial_root_z,Development_root_z,Final_root_z,Minimum_plant_height,Maximum_plant_height,Midseason_plant_height,Endseason_plant_height,calculate_one_minus_c,Kc_calculation_procedure,Irrigation_partition_1,Irrigation_partition_2,Irrigation_partition_3,Irrigation_partition_4,Simulate_nitrogen,Simulate_salinity,Simulate_rainfall,Type_irrigation,Rain_infiltration_calculation,NeglectEvaporationLayerDepletion,MAD_p_Table22,Adjust_p,Max_yield,Initial_crop_sensitivity,Development_crop_sensitivity,Midseason_crop_sensitivity,Lateseason_crop_sensitivity,Endseason_crop_sensitivity,seal_bottom,no_infiltration,no_et,no_stress_reduction,NoETFracAdjustment,NoRedistributionRichardsEqn,Field_capacity_restriction,Irrigation_efficiency,Leaching_fraction,Eliminate_surface_evaporation,DOY_to_eliminate_surface_evaporation,Num_wetting_phases,Wetting_switch_day_1,Wetting_switch_day_2,Wetting_switch_day_3,Wetting_switch_day_4,Wetting_switch_day_5,Irrigation_type_1,Irrigation_type_2,Irrigation_type_3,Irrigation_type_4,Irrigation_type_5,Irrigation_water_EC,Maximum_soluble_EC_act,DOY of salinity application,Rate_of_salinity_application_kgha,Rate_of_dissolution,ECe_thresh,b_sal,Fertilizer_dissolution_rate,Kmnl,qlow,qhigh,Qtemp,Surface_organic_matter,alpha,Kden,Nmin,Km,Fraction_N_req_taken_as_nitrate,Seas_N_requirement,DOY_of_Fert_app_1,DOY_of_Fert_app_2,DOY_of_Fert_app_3,Rate_of_application_1,Rate_of_application_2,Rate_of_application_3,Depth_of_fertilizer_application,Number_of_fertilization_events,Read_in_daily_Km_values,Adjust_Km_in_program_for_opt,Use_constant_Km_values,Optimal_soil_nitrate_concentration,Sat_uptake_above_optimal,Upper_limit_of_temperature_adjust,Rate_of_decrease_after_upper_lim,Irrigation_nitrate_conc,Fraction_of_optimal_range,Rate_of_yield_decrease_below_N,Rate_of_yield_decrease_above_N,Dont_fertilize_evap_layer,tm,T_bar,A0,Soil_thermal_diffusivity,WasteAppTF,SimStartDOY,SimStartDate
1,PI_F_R1_2018,1,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,1,2,11,14,2,30,25,46,25,10,0,0,0,320,0.15,1.11,0.3,0,0,30,25,35,25,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-24
2,PI_F_R2_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,1,2,11,14,2,30,25,46,25,10,0,0,0,320,0.15,1.11,0.3,0,0,30,25,35,25,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-24
3,PI_F_R3_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,1,2,11,14,2,30,25,46,25,10,0,0,0,320,0.15,1.11,0.3,0,0,30,25,35,25,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-24
4,PI_F_R4_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,1,2,11,14,2,30,25,46,25,10,0,0,0,320,0.15,1.11,0.3,0,0,30,25,35,25,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-24
5,PI_Vs_R2_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,2,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-16
6,PI_Rs_R2_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,3,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-17
7,PI_Rainf_R2_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,4,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-18
8,NPI_F_R1_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,5,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-19
9,NPI_F_R2_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,5,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-19
10,NPI_Vs_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,6,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-20
11,NPI_Rs_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,7,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-21
12,NPI_Rainf_2018,0,2018,184,2018-07-04,166,2018-06-15,300,2018-10-04,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2018,1,1,GuarPI_Kc_18,GuarPI_Rs_18,1,Irr_Guar_18,8,2,11,0,0,30,25,46,25,10,0,0,0,320,0.15,0.9,0.03,0,0,0.15,0.6,0.7,0.1,0.9,0.03,0.03,25,0.15,0.6,0.7,0.1,0.65,0.6,0.6,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.45,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,166,2018-09-22
13,PI_F_R2_2019,0,2019,163,2019-06-13,143,2019-06-13,320,2019-09-13,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2019,1,1,GuarPI_Kc_19,GuarPI_Rs_18,2,Irr_Guar_19,1,13,15,15,16,30,30,40,10,26,0,0,0,320,0.15,0.9,0.2,0,0,30,20,36,50,0.9,0.06,0.03,50,0.3,0.83,1.1,0.2,0.8,0.85,0.95,0,2,1,0,0,0,1,1,1,sprinkler,0,1,0.5,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,143,2019-06-13
14,PI_F_R2_2020,0,2020,154,2020-06-03,134,2020-06-03,320,2020-09-03,1,Clovis Guar,1,Hadiqa,1,Guar,11,Clovis,Clovis_weather2020,1,1,GuarPI_Kc_20,GuarPI_Rs_18,3,Irr_Guar_20,1,28,13,8,23,20,30,45,25,21,0,0,0,295,0.4,1.29,0.5,0,0,20,30,45,46,0.9,0.15,0.03,46,0.45,0.85,1,0.3,1,0.85,0.7,0,2,1,0,0,0,0,0,1,sprinkler,0,1,0.5,0,10000,1,1.1,1.1,0.4,1,0,0,0,0,0,0,0,0.9,0.9,0,200,1,800,800,800,800,800,sprinkler,sprinkler,sprinkler,sprinkler,sprinkler,1,200,200,1,0.05,1.7,12,1,0.0002,0.15,0.22,3,3000,0.025,0,2,1.3,0.75,50,1,200,230,20,30,30,0.2,1,0,1,0,30,0.15,0.75,0.1,10,0.15,0.15,0.15,0,100,21,17.1,1,0,134,2020-06-03
